"","faurby_accepted_genus_species","faurby_accepted_rank"
"620","Herpestes_urva","species"
"621","Herpestides_aegypticus","species"
"622","Herpestides_aequatorialis","species"
"623","Herpestides_afarensis","species"
"624","Herpestides_antiquus","species"
"625","Herpestides_compactus","species"
"626","Herpestides","genus"
"627","Ichneumia_albicauda","species"
"628","Ichneumia_nims","species"
"629","Leptoplesictis_atavus","species"
"630","Leptoplesictis_aurelianensis","species"
"631","Leptoplesictis_filholi","species"
"632","Leptoplesictis_mbitensis","species"
"633","Leptoplesictis_namibiensis","species"
"634","Leptoplesictis_rangwai","species"
"635","Leptoplesictis_senutae","species"
"636","Mungos_dietrichi","species"
"637","Mungos","genus"
"638","Mungos_minutus","species"
"639","Suricata","genus"
"640","Suricata_major","species"
"641","Suricata_suricatta","species"
"642","Acarictis_ryani","species"
"643","Akhnatenavus_leptognathus","species"
"644","Akhnatenavus_nefertiticyon","species"
"645","Alienetherium_buxwilleri","species"
"646","Allopterodon_bulbosus","species"
"647","Allopterodon","genus"
"648","Allopterodon_minor","species"
"649","Allopterodon_torvidus","species"
"650","Altacreodus  _magnus","species"
"651","Anasinopa","genus"
"652","Anasinopa_hassi","species"
"653","Anasinopa_leakeyi","species"
"654","Apterodon_altidens","species"
"655","Apterodon_gaudryi","species"
"656","Apterodon","genus"
"657","Apterodon_intermedius","species"
"658","Apterodon_langebadreae","species"
"659","Apterodon_macrognathus","species"
"660","Apterodon_saghensis","species"
"661","Arfia","genus"
"662","Arfia_gingerichi","species"
"663","Arfia_junnei","species"
"664","Arfia_langebadreae","species"
"665","Arfia_opisthotoma","species"
"666","Arfia_shoshoniensis","species"
"667","Arfia_zele","species"
"668","Boritia_duffaudi","species"
"669","Boualitomus_marocanensis","species"
"670","Brychotherium_ephalmos","species"
"671","Brychotherium_ethiopicus","species"
"672","Buhakia_mogharensis","species"
"673","Cynohyaenodon_cailuxy","species"
"674","Cynohyaenodon","genus"
"675","Cynohyaenodon_lautricensis ","species"
"676","Cynohyaenodon_trux","species"
"677","Cynohyaenodon _ruetimeyeri","species"
"678","Dissopsalis_carnifex","species"
"679","Dissopsalis","genus"
"680","Dissopsalis_pyroclasticus","species"
"681","Eoproviverra_eisenmanni","species"
"682","Eurotherium_matthesi","species"
"683","Eurotherium_theriodis","species"
"684","Furodon_crocheti","species"
"685","Galecyon_chronius","species"
"686","Galecyon_gallus","species"
"687","Galecyon_mordax","species"
"688","Galecyon_morloi","species"
"689","Galecyon_peregrinus","species"
"690","Gazinocyon_vulpeculus","species"
"691","Glibzegdouia_tabelbalaensis","species"
"692","Hemipsalodon","genus"
"693","Hemipsalodon_grandis","species"
"694","Hemipsalodon_viejaensis","species"
"695","Hyaenodon_brachyrhynchus","species"
"696","Hyaenodon_brevirostris","species"
"697","Hyaenodon_chunkhtensis","species"
"698","Hyaenodon_crucians","species"
"699","Hyaenodon_dubius","species"
"700","Hyaenodon_eminus","species"
"701","Hyaenodon_filholi","species"
"702","Hyaenodon","genus"
"703","Hyaenodon_gervaisi","species"
"704","Hyaenodon_gigas","species"
"705","Hyaenodon_horridus","species"
"706","Hyaenodon_incertus","species"
"707","Hyaenodon_leptorhynchus","species"
"708","Hyaenodon_megaloides","species"
"709","Hyaenodon_microdon","species"
"710","Hyaenodon_mongoliensis","species"
"711","Hyaenodon_montanus","species"
"712","Hyaenodon_mustelinus","species"
"713","Hyaenodon_pervagus","species"
"714","Hyaenodon_raineyi","species"
"715","Hyaenodon_rossignoli","species"
"716","Hyaenodon_venturae","species"
"717","Hyaenodon_vetus","species"
"718","Hyaenodon_weilini","species"
"719","Hyaenodon_yuanchuensis","species"
"720","Hyainailouros_bugtiensis","species"
"721","Hyainailouros","genus"
"722","Hyainailouros_nyanzae","species"
"723","Hyainailouros_sulzeri","species"
"724","Indohyaenodon_raoi","species"
"725","Iridodon_datzae","species"
"726","Ischnognathus_savagei","species"
"727","Isohyaenodon_andrewsi","species"
"728","Isohyaenodon","genus"
"729","Isohyaenodon_pilgrimi","species"
"730","Isohyaenodon_zadoki","species"
"731","Isphanatherium_ferganensis","species"
"732","Kerberos_langebadreae","species"
"733","Koholia_atlasense","species"
"734","Kyawdawia_lupina","species"
"735","Lahimia_selloumi","species"
"736","Leakeytherium_hiwegi","species"
"737","Leakeytherium","genus"
"738","Leonhardtina_godinoti","species"
"739","Leonhardtina_gracilis","species"
"740","Lesmesodon_behnkeae","species"
"741","Lesmesodon_edingeri","species"
"742","Limnocyon_cuspidens","species"
"743","Limnocyon","genus"
"744","Limnocyon_potens","species"
"745","Limnocyon_verus","species"
"746","Masrasector_aegypticum","species"
"747","Masrasector","genus"
"748","Masrasector_ligabuei","species"
"749","Matthodon_menui","species"
"750","Matthodon_tritens","species"
"751","Megistotherium_osteothlastes","species"
"752","Metapterodon_brachycephalus","species"
"753","Metapterodon","genus"
"754","Metapterodon_kaiseri","species"
"755","Metapterodon_schlosseri","species"
"756","Metapterodon_stromeri","species"
"757","Metasinopa","genus"
"758","Metasinopa_napaki","species"
"759","Minimovellentodon_russelli","species"
"760","Mlanyama_sugu","species"
"761","Morlodon_vellerei","species"
"762","Neoparapterodon_rechetovi","species"
"763","Orienspterodon_dahkoensis","species"
"764","Oxyaenodon_dysodus","species"
"765","Oxyaenoides_bicuspidens","species"
"766","Oxyaenoides_lindgreni","species"
"767","Oxyaenoides_schlosseri","species"
"768","Paenoxyaenoides_liguritor","species"
"769","Paracynohyaenodon_magnus","species"
"770","Paracynohyaenodon_schlosseri","species"
"771","Parapterodon_lostangensis","species"
"772","Paratritemnodon_indicus","species"
"773","Paratritemnodon_jandewalensis","species"
"774","Paroxyaena_galliae","species"
"775","Paroxyaena_pavlovi","species"
"776","Parvagula_palulae","species"
"777","Parvavorodon_gheerbranti","species"
"778","Praecodens_acutus","species"
"779","Preregidens_langebadrae","species"
"780","Prodissopsalis_eocaenicus","species"
"781","Prolimnocyon_antiquus","species"
"782","Prolimnocyon_atavus","species"
"783","Prolimnocyon_chowi","species"
"784","Prolimnocyon_eerius","species"
